trade_date,open,high,low,close,pre_close,change,pct_chg,volume,amount,circ_mv,dv_ratio,dv_ttm,float_share,free_share,pb,pe,pe_ttm,ps,ps_ttm,total_mv,total_share,turnover_rate,turnover_rate_f,volume_ratio,buy_elg_amount,buy_elg_vol,buy_lg_amount,buy_lg_vol,buy_md_amount,buy_md_vol,buy_sm_amount,buy_sm_vol,net_mf_amount,net_mf_vol,sell_elg_amount,sell_elg_vol,sell_lg_amount,sell_lg_vol,sell_md_amount,sell_md_vol,sell_sm_amount,sell_sm_vol
20150105,13.45,13.83,13.28,13.7,13.59,0.11,0.81,17371.82,23444.4025,521153.617,3.65,3.65,38040.41,19975.5515,2.1603,25.017,41.1788,2.1676,2.2374,655111.8704,47818.3847,0.4567,0.8697,0.78,382.21,2808,621.37,4598,600.19,4458,740.66,5508,719.6,5286,236.31,1750,668.83,4968,840.06,6222,599.23,4431
20150106,13.65,13.98,13.55,13.95,13.7,0.25,1.82,18599.36,25553.1113,530663.7195,3.58,3.58,38040.41,19975.5515,2.1997,25.4735,41.9303,2.2071,2.2783,667066.4666,47818.3847,0.4889,0.9311,0.99,170.13,1250,582.76,4240,1110.19,8077,692.23,5032,273.6,1984,172.23,1265,532.72,3887,1049.01,7630,801.34,5816
20150107,13.96,13.96,13.76,13.8,13.95,-0.15,-1.08,13255.4,18342.5761,524957.658,3.62,3.62,38040.41,19975.5515,2.1761,25.1996,41.4794,2.1834,2.2538,659893.7089,47818.3847,0.3485,0.6636,0.7,244.43,1761,446.83,3230,632.55,4575,510.43,3690,-323.75,-2351,244.16,1759,464.97,3363,742.33,5366,382.78,2767
20150108,13.8,14.0,13.76,13.8,13.8,0.0,0.0,14508.81,20110.7107,524957.658,3.62,3.62,38040.41,19975.5515,2.1761,25.1996,41.4794,2.1834,2.2538,659893.7089,47818.3847,0.3814,0.7263,0.89,327.19,2350,242.75,1753,943.76,6815,497.36,3590,79.35,553,244.77,1758,304.58,2200,973.28,7027,488.43,3524
20150109,13.76,14.06,13.75,13.85,13.8,0.05,0.36,16853.91,23425.1986,526859.6785,3.61,3.61,38040.41,19975.5515,2.184,25.2909,41.6297,2.1913,2.2619,662284.6281,47818.3847,0.4431,0.8437,1.04,181.94,1300,743.25,5343,786.37,5668,618.89,4456,298.69,2126,9.67,70,561.75,4044,983.27,7073,775.77,5580
20150112,13.8,14.05,13.79,13.87,13.85,0.02,0.14,15469.79,21543.6971,527620.4867,3.6,3.6,38040.41,19975.5515,2.1871,25.3274,41.6898,2.1944,2.2652,663240.9958,47818.3847,0.4067,0.7744,0.96,0.0,0,417.94,2997,1117.15,8024,619.27,4449,-207.1,-1494,2.78,20,557.03,4000,876.66,6298,717.88,5153
20150113,13.98,14.35,13.88,14.33,13.87,0.46,3.32,28875.69,40994.8065,545119.0753,3.49,3.49,38040.41,19975.5515,2.2597,26.1674,43.0724,2.2672,2.3403,685237.4528,47818.3847,0.7591,1.4456,1.83,795.09,5579,950.93,6699,1405.87,9922,947.58,6676,590.97,4140,274.59,1923,1094.45,7706,1579.01,11135,1151.42,8111
20150114,14.33,14.77,14.29,14.6,14.33,0.27,1.88,31956.83,46652.6348,555389.986,3.42,3.42,38040.41,19975.5515,2.3022,26.6604,43.884,2.3099,2.3844,698148.4166,47818.3847,0.8401,1.5998,1.8,473.04,3241,1568.94,10742,1679.45,11506,943.82,6467,-22.76,-149,562.49,3850,1502.25,10282,1491.83,10227,1108.69,7598
20150115,14.6,15.02,14.52,14.84,14.6,0.24,1.64,38906.9,57778.1378,564519.6844,3.37,3.37,38040.41,19975.5515,2.3401,27.0987,44.6054,2.3479,2.4236,709624.8289,47818.3847,1.0228,1.9477,1.81,1222.09,8248,1744.43,11720,2034.28,13704,774.18,5216,694.63,4636,1157.49,7812,1560.41,10501,1879.19,12656,1177.9,7919
20150116,14.75,14.87,14.46,14.8,14.84,-0.04,-0.27,61408.3,90132.9447,562998.068,3.38,3.38,38040.41,19975.5515,2.3338,27.0256,44.4852,2.3416,2.4171,707712.0936,47818.3847,1.6143,3.0742,2.32,5171.48,35270,1773.51,12053,1352.8,9209,715.49,4876,-2948.5,-20149,5039.44,34375,1431.73,9731,1663.56,11320,878.55,5982
