trade_date,open,high,low,close,pre_close,change,pct_chg,volume,amount,circ_mv,dv_ratio,dv_ttm,float_share,free_share,pb,pe,pe_ttm,ps,ps_ttm,total_mv,total_share,turnover_rate,turnover_rate_f,volume_ratio,buy_elg_amount,buy_elg_vol,buy_lg_amount,buy_lg_vol,buy_md_amount,buy_md_vol,buy_sm_amount,buy_sm_vol,net_mf_amount,net_mf_vol,sell_elg_amount,sell_elg_vol,sell_lg_amount,sell_lg_vol,sell_md_amount,sell_md_vol,sell_sm_amount,sell_sm_vol
20150105,10.3,10.78,10.28,10.49,10.18,0.31,3.05,889408.89,936964.352,2974125.356,3.41,3.41,283520.053,151007.0914,1.8222,11.044,11.072,0.2914,0.264,2974125.356,283520.053,3.137,5.8898,1.46,16463.55,156117.0,25417.4,241279.0,28877.73,274300.0,22936.94,217707.0,5566.66,51953.0,15564.51,147884.0,28168.32,267370.0,28737.91,272788.0,21224.87,201360.0
20150106,10.3,10.31,10.0,10.2,10.49,-0.29,-2.76,654063.24,665110.587,2891904.5406,3.51,3.51,283520.053,154907.0914,1.7719,10.7387,10.7659,0.2833,0.2567,2891904.5406,283520.053,2.3069,4.2223,0.95,5823.96,57170.0,17065.08,167885.0,22700.36,223201.0,20921.45,205808.0,-5388.6,-53306.0,11415.49,112370.0,17819.98,175309.0,21029.93,206676.0,16245.45,159708.0
20150107,10.1,10.27,10.06,10.14,10.2,-0.06,-0.59,410223.49,416772.971,2874893.3374,3.53,3.53,283520.053,154907.0914,1.7614,10.6755,10.7026,0.2817,0.2552,2874893.3374,283520.053,1.4469,2.6482,0.6,4176.4,41082.0,12889.12,126799.0,13299.63,130947.0,11312.06,111395.0,-1961.54,-19603.0,8915.99,87950.0,11602.05,114135.0,11706.61,115137.0,9452.55,93001.0
20150108,10.15,10.23,9.76,9.88,10.14,-0.26,-2.56,567225.7,560382.951,2801178.1236,3.62,3.62,283520.053,154907.0914,1.7163,10.4018,10.4281,0.2744,0.2487,2801178.1236,283520.053,2.0007,3.6617,0.95,4362.18,44130.0,13207.55,133603.0,19616.76,198651.0,18850.62,190832.0,-4702.79,-47769.0,8006.13,81113.0,14663.96,148379.0,19144.72,193816.0,14222.3,143908.0
20150109,9.81,9.98,9.7,9.72,9.88,-0.16,-1.62,476682.12,468361.243,2755814.9152,3.68,3.68,283520.053,154907.0914,1.6885,10.2333,10.2593,0.27,0.2446,2755814.9152,283520.053,1.6813,3.0772,0.8,5921.55,60323.0,10437.01,106209.0,15323.2,155921.0,15149.32,154179.0,-1132.11,-12045.0,10211.8,104157.0,9308.46,94732.0,14164.4,144034.0,13146.42,133710.0
20150112,9.6,9.81,9.48,9.53,9.72,-0.19,-1.95,411073.96,395490.438,2701946.1051,3.76,3.76,283520.053,154907.0914,1.6555,10.0333,10.0587,0.2647,0.2399,2701946.1051,283520.053,1.4499,2.6537,0.69,3062.32,31658.0,11387.17,118296.0,13078.18,135972.0,12021.24,125148.0,-2130.07,-22572.0,4649.33,48348.0,11602.2,120497.0,13715.99,142564.0,9581.39,99666.0
20150113,9.47,9.62,9.36,9.39,9.53,-0.14,-1.47,305560.35,289542.437,2662253.2977,3.81,3.81,283520.053,154907.0914,1.6311,9.8859,9.911,0.2608,0.2363,2662253.2977,283520.053,1.0777,1.9725,0.61,3825.48,40234.0,6331.19,66876.0,10086.74,106435.0,8710.76,92015.0,-978.46,-10642.0,5635.19,59599.0,8437.31,89012.0,8553.4,90178.0,6328.26,66772.0
20150114,9.43,9.55,9.37,9.54,9.39,0.15,1.6,282955.31,267247.385,2704781.3056,3.75,3.75,283520.053,154907.0914,1.6572,10.0438,10.0693,0.265,0.2401,2704781.3056,283520.053,0.998,1.8266,0.65,3416.99,36220.0,7417.31,78504.0,8271.84,87563.0,7618.47,80669.0,708.68,7438.0,2878.6,30581.0,7247.03,76705.0,8993.38,95189.0,7605.61,80480.0
20150115,9.51,9.87,9.5,9.8,9.54,0.26,2.73,417860.33,406986.666,2778496.5194,3.65,3.65,283520.053,154907.0914,1.7024,10.3176,10.3437,0.2722,0.2466,2778496.5194,283520.053,1.4738,2.6975,1.02,5589.66,57446.0,10126.12,103772.0,15153.78,155687.0,9828.32,100949.0,2524.49,26164.0,7656.71,78555.0,8744.44,89723.0,13300.39,136587.0,10996.32,112988.0
20150116,9.8,9.93,9.62,9.85,9.8,0.05,0.51,421764.38,412223.491,2792672.5221,3.63,3.63,283520.053,154907.0914,1.7111,10.3702,10.3965,0.2736,0.2479,2792672.5221,283520.053,1.4876,2.7227,1.11,7340.87,75077.0,8795.09,89954.0,14498.7,148352.0,10587.62,108381.0,-941.45,-10093.0,9214.38,94631.0,10449.52,106900.0,12564.17,128346.0,8994.21,91888.0
20150119,9.52,9.71,8.87,9.07,9.85,-0.78,-7.92,744086.15,691330.851,2571526.8807,3.95,3.95,283520.053,154907.0914,1.5756,9.549,9.5732,0.2519,0.2283,2571526.8807,283520.053,2.6245,4.8034,2.02,4910.98,53149.0,21379.08,229952.0,23322.84,251056.0,18128.52,195145.0,-14541.35,-156258.0,13844.36,149827.0,25770.38,277186.0,16259.93,174794.0,11866.76,127495.0
20150120,9.14,9.44,9.07,9.42,9.07,0.35,3.86,441184.2,407387.484,2670758.8993,3.8,3.8,283520.053,154907.0914,1.6364,9.9175,9.9426,0.2617,0.2371,2670758.8993,283520.053,1.5561,2.8481,1.02,5676.43,61378.0,10098.2,109301.0,11988.15,129888.0,12974.01,140598.0,1202.75,12474.0,5578.97,60665.0,9968.43,107984.0,12337.8,133419.0,12851.59,139096.0
20150121,9.42,9.67,9.3,9.63,9.42,0.21,2.23,619967.41,591403.34,2730298.1104,3.72,3.72,283520.053,154907.0914,1.6728,10.1386,10.1643,0.2675,0.2424,2730298.1104,283520.053,2.1867,4.0022,1.34,9088.74,95036.0,16454.4,172434.0,20568.02,215776.0,13028.89,136720.0,-2084.22,-22430.0,8852.52,92800.0,17628.29,184911.0,18713.52,196087.0,13945.72,146168.0
20150122,9.61,9.81,9.56,9.76,9.63,0.13,1.35,383366.77,372352.558,2767155.7173,3.67,3.67,283520.053,154907.0914,1.6954,10.2755,10.3015,0.2711,0.2456,2767155.7173,283520.053,1.3522,2.4748,0.72,4989.15,51245.0,10762.74,110803.0,12056.28,124204.0,9427.01,97115.0,631.81,6310.0,3530.71,36380.0,10144.45,104450.0,13074.97,134607.0,10485.05,107930.0
20150123,9.83,9.88,9.51,9.58,9.76,-0.18,-1.84,451159.43,436005.147,2716122.1077,3.74,3.74,283520.053,154907.0914,1.6642,10.086,10.1115,0.2661,0.2411,2716122.1077,283520.053,1.5913,2.9125,0.86,5481.86,56751.0,13736.15,142104.0,13825.17,143033.0,10557.27,109271.0,-1471.03,-15378.0,10074.75,104394.0,13368.6,138214.0,11524.71,119243.0,8632.38,89309.0
20150126,9.54,10.06,9.53,10.01,9.58,0.43,4.49,560036.71,551040.298,2838035.7305,3.58,3.58,283520.053,154907.0914,1.7388,10.5387,10.5654,0.2781,0.2519,2838035.7305,283520.053,1.9753,3.6153,1.06,9360.58,94860.0,15775.88,160428.0,17182.34,174662.0,12785.04,130087.0,9484.2,96224.0,4347.74,44194.0,15703.51,159479.0,19417.9,197433.0,15634.7,158931.0
20150127,10.01,10.25,9.82,10.03,10.01,0.02,0.2,546458.38,548738.768,2843706.1316,3.57,3.57,283520.053,154907.0914,1.7423,10.5597,10.5865,0.2786,0.2524,2843706.1316,283520.053,1.9274,3.5277,1.11,3606.65,35777.0,16303.7,162097.0,19756.27,196886.0,15207.13,151697.0,-1383.31,-14389.0,6260.1,62349.0,16447.44,163660.0,17701.91,176310.0,14464.3,144139.0
20150128,10.03,10.19,9.9,10.08,10.03,0.05,0.5,427821.43,431555.645,2857882.1342,3.55,3.55,283520.053,154907.0914,1.751,10.6124,10.6392,0.28,0.2537,2857882.1342,283520.053,1.509,2.7618,0.84,4588.51,45406.0,13773.58,136597.0,13664.15,135484.0,11129.21,110335.0,1826.77,17757.0,5248.39,52073.0,13746.68,136270.0,13367.73,132496.0,10792.66,106983.0
20150129,9.91,10.12,9.72,9.83,10.08,-0.25,-2.48,309983.48,307766.572,2787002.121,3.64,3.64,283520.053,154907.0914,1.7076,10.3492,10.3754,0.2731,0.2474,2787002.121,283520.053,1.0933,2.0011,0.65,1328.73,13334.0,8372.94,84200.0,12469.77,125670.0,8601.01,86738.0,-4822.74,-49057.0,5388.37,54628.0,7881.61,79240.0,10207.58,102681.0,7294.9,73393.0
20150130,9.85,9.96,9.61,9.68,9.83,-0.15,-1.53,320341.65,313290.501,2744474.113,3.7,3.7,283520.053,154907.0914,1.6815,10.1912,10.217,0.2689,0.2436,2744474.113,283520.053,1.1299,2.068,0.7,1302.18,13384.0,9637.91,98491.0,11624.25,118876.0,8764.63,89591.0,-4309.35,-44244.0,4779.98,49049.0,9249.32,94563.0,9697.48,99074.0,7602.21,77656.0
20150202,9.48,9.52,9.26,9.32,9.68,-0.36,-3.72,313870.83,293363.39,2642406.894,3.84,3.84,283520.053,154907.0914,1.619,9.8122,9.8371,0.2589,0.2346,2642406.894,283520.053,1.107,2.0262,0.72,1267.26,13585.0,7510.47,80376.0,10836.81,115905.0,9721.72,104005.0,-3292.9,-35313.0,4205.76,45084.0,9589.18,102638.0,8339.58,89138.0,7201.74,77010.0
20150203,9.4,9.52,9.3,9.46,9.32,0.14,1.5,214242.64,201714.541,2682099.7014,3.78,3.78,283520.053,154907.0914,1.6433,9.9596,9.9848,0.2628,0.2381,2682099.7014,283520.053,0.7557,1.383,0.56,1063.26,11255.0,4256.09,45186.0,7761.94,82468.0,7089.99,75334.0,150.51,1495.0,923.26,9867.0,5977.56,63471.0,7214.65,76604.0,6055.81,64301.0
20150204,9.49,9.52,9.26,9.3,9.46,-0.16,-1.69,260111.29,244053.646,2636736.4929,3.85,3.85,283520.053,154907.0914,1.6155,9.7912,9.816,0.2583,0.2341,2636736.4929,283520.053,0.9174,1.6791,0.82,1202.21,12835.0,5871.42,62552.0,9229.94,98377.0,8101.18,86342.0,-2811.48,-30072.0,2857.48,30471.0,8010.53,85373.0,8159.93,86933.0,5376.81,57329.0
20150205,9.65,9.65,9.1,9.14,9.3,-0.16,-1.72,327398.93,306062.445,2591373.2844,3.92,3.92,283520.053,154907.0914,1.5877,9.6227,9.6471,0.2539,0.23,2591373.2844,283520.053,1.1548,2.1135,1.15,1805.33,19087.0,7132.4,76235.0,10529.07,112669.0,11138.81,119403.0,-1818.12,-20024.0,2995.01,31980.0,8022.64,85792.0,9641.35,103014.0,9946.61,106607.0
20150206,9.16,9.23,8.9,9.08,9.14,-0.06,-0.66,283556.56,256821.882,2574362.0812,3.94,3.94,283520.053,154907.0914,1.5773,9.5595,9.5838,0.2522,0.2285,2574362.0812,283520.053,1.0001,1.8305,0.99,3354.33,37104.0,6810.86,75120.0,7798.6,86087.0,7716.52,85227.0,-2053.07,-22788.0,3831.46,42321.0,7300.63,80661.0,7611.19,83974.0,6937.03,76581.0
20150209,9.06,9.21,9.06,9.12,9.08,0.04,0.44,151773.29,138765.157,2585702.8834,3.92,3.92,283520.053,154907.0914,1.5842,9.6017,9.626,0.2533,0.2295,2585702.8834,283520.053,0.5353,0.9798,0.54,676.48,7396.0,3178.36,34774.0,5093.39,55705.0,4926.42,53878.0,236.64,2509.0,1285.16,14065.0,3109.03,34014.0,4439.85,48555.0,5040.59,55120.0
20150210,9.12,9.33,9.08,9.29,9.12,0.17,1.86,220439.89,203857.91,2633901.2924,3.85,3.85,283520.053,154907.0914,1.6138,9.7806,9.8054,0.2581,0.2338,2633901.2924,283520.053,0.7775,1.423,0.89,1159.29,12520.0,4341.86,46999.0,9365.86,101214.0,5518.74,59706.0,4487.33,48367.0,1473.32,15948.0,5654.64,61177.0,7699.37,83239.0,5558.42,60076.0
20150211,9.34,9.61,9.24,9.6,9.29,0.31,3.34,295760.93,280448.375,2721792.5088,3.73,3.73,283520.053,154907.0914,1.6676,10.107,10.1326,0.2667,0.2416,2721792.5088,283520.053,1.0432,1.9093,1.19,5150.88,54079.0,7051.96,74346.0,8644.41,91230.0,7197.53,76107.0,5551.91,58486.0,2127.8,22481.0,7688.86,81026.0,9983.02,105268.0,8245.11,86986.0
20150212,9.6,9.64,9.4,9.52,9.6,-0.08,-0.83,210129.21,200070.868,2699110.9046,3.76,2.1,283520.053,154907.0914,1.6537,10.0228,10.0482,0.2644,0.2396,2699110.9046,283520.053,0.7411,1.3565,0.82,1037.41,10904.0,4994.79,52435.0,7593.07,79767.0,6381.71,67023.0,-4956.61,-52218.0,4945.69,52090.0,4551.66,47775.0,5869.83,61587.0,4639.81,48677.0
20150213,9.56,9.64,9.48,9.53,9.52,0.01,0.11,280257.52,268319.806,2701946.1051,3.76,2.1,283520.053,154907.0914,1.6555,10.0333,10.0587,0.2647,0.2399,2701946.1051,283520.053,0.9885,1.8092,1.21,1656.54,17314.0,8127.62,84844.0,9210.34,96213.0,7837.35,81887.0,-1509.18,-15935.0,3189.4,33375.0,7618.11,79523.0,8162.31,85230.0,7862.03,82129.0
20150216,9.53,9.57,9.43,9.54,9.53,0.01,0.1,281228.22,267178.805,2704781.3056,3.75,2.1,283520.053,154907.0914,1.6572,10.0438,10.0693,0.265,0.2401,2704781.3056,283520.053,0.9919,1.8155,1.21,2268.98,23819.0,7489.74,78825.0,10037.25,105708.0,6921.84,72877.0,-1536.69,-16346.0,2923.76,30769.0,8352.95,87906.0,9892.04,104178.0,5549.06,58375.0
20150217,9.6,10.19,9.6,10.07,9.54,0.53,5.56,625026.01,621689.161,2855046.9337,3.55,1.99,283520.053,154907.0914,1.7493,10.6018,10.6287,0.2797,0.2534,2855046.9337,283520.053,2.2045,4.0348,2.43,12788.73,128025.0,17094.5,171596.0,18526.45,186605.0,13755.9,138767.0,9715.34,97542.0,6468.61,64699.0,16717.96,167853.0,21819.24,219505.0,17159.79,172937.0
20150225,10.14,10.35,9.92,10.03,10.07,-0.04,-0.4,435300.27,441958.534,2843706.1316,3.57,1.99,283520.053,154907.0914,1.7423,10.5597,10.5865,0.2786,0.2524,2843706.1316,283520.053,1.5353,2.8101,1.29,2808.89,27560.0,13205.5,129906.0,15840.49,156090.0,12339.96,121735.0,419.59,3746.0,5363.37,52950.0,11255.6,110834.0,14650.34,144172.0,12925.52,127335.0
20150226,10.02,10.37,10.02,10.2,10.03,0.17,1.69,606221.63,619002.158,2891904.5406,3.51,1.96,283520.053,154907.0914,1.7719,10.7387,10.7659,0.2833,0.2567,2891904.5406,283520.053,2.1382,3.9135,1.65,7055.81,69029.0,20368.71,199580.0,20174.59,197559.0,14300.97,140053.0,-58.3,-1029.0,9059.02,89009.0,19293.05,188908.0,19714.55,192934.0,13833.46,135371.0
20150227,10.1,10.24,10.04,10.18,10.2,-0.02,-0.2,367365.15,372318.678,2886234.1395,3.52,1.96,283520.053,154907.0914,1.7684,10.7176,10.7448,0.2828,0.2562,2886234.1395,283520.053,1.2957,2.3715,0.82,5327.88,52376.0,10017.8,98843.0,11974.8,118246.0,9909.34,97882.0,-684.99,-7052.0,5505.15,54422.0,9990.67,98530.0,11970.16,118078.0,9763.84,96317.0
20150302,10.29,10.32,10.11,10.2,10.18,0.02,0.2,388067.09,395460.458,2891904.5406,3.51,1.96,283520.053,154907.0914,1.7719,10.7387,10.7659,0.2833,0.2567,2891904.5406,283520.053,1.3687,2.5052,0.84,3857.02,37859.0,10645.98,104443.0,14022.07,137602.0,11018.18,108137.0,-3253.03,-32128.0,6312.67,62067.0,10183.15,99897.0,13239.99,129866.0,9807.45,96211.0
20150303,10.16,10.16,9.83,9.88,10.2,-0.32,-3.14,558237.36,557572.427,2801178.1236,3.62,2.02,283520.053,154907.0914,1.7163,10.4018,10.4281,0.2744,0.2487,2801178.1236,283520.053,1.969,3.6037,1.15,4951.62,49450.0,14961.33,149748.0,18338.57,183643.0,17505.49,175396.0,-9404.13,-94547.0,11338.55,113681.0,13064.67,130751.0,16103.97,161136.0,15249.83,152670.0
20150304,9.85,9.98,9.81,9.9,9.88,0.02,0.2,282732.07,279111.572,2806848.5247,3.61,2.02,283520.053,154907.0914,1.7197,10.4229,10.4493,0.275,0.2492,2806848.5247,283520.053,0.9972,1.8252,0.6,1814.44,18365.0,5647.37,57186.0,10327.07,104624.0,10122.13,102557.0,-3833.15,-38936.0,2355.39,23851.0,6934.59,70231.0,10416.84,105529.0,8204.18,83120.0
20150305,9.87,9.95,9.81,9.89,9.9,-0.01,-0.1,320465.04,315643.492,2804013.3242,3.62,2.02,283520.053,154907.0914,1.718,10.4123,10.4387,0.2747,0.2489,2804013.3242,283520.053,1.1303,2.0688,0.73,3228.57,32749.0,7490.86,76028.0,11615.38,117948.0,9229.42,93740.0,-1959.41,-20032.0,5303.52,53862.0,6784.44,68859.0,9756.02,99032.0,9720.24,98713.0
20150306,9.88,10.06,9.88,9.91,9.89,0.02,0.2,268126.82,266823.78,2809683.7252,3.61,2.02,283520.053,154907.0914,1.7215,10.4334,10.4598,0.2753,0.2494,2809683.7252,283520.053,0.9457,1.7309,0.7,2024.56,20319.0,5462.38,54909.0,10153.3,102035.0,9042.03,90864.0,-1230.58,-12470.0,3275.46,32907.0,5257.73,52844.0,9146.08,91903.0,9003.0,90473.0
20150309,9.9,10.3,9.83,10.29,9.91,0.38,3.83,701724.44,714250.706,2917421.3454,3.48,1.94,283520.053,154907.0914,1.7875,10.8335,10.8609,0.2858,0.259,2917421.3454,283520.053,2.475,4.53,1.93,11394.25,111465.0,19464.43,191401.0,22274.85,219112.0,18288.29,179716.0,8681.87,84813.0,6633.61,65190.0,17860.89,175394.0,25456.49,250207.0,21470.83,210904.0
20150310,10.32,10.99,10.32,10.65,10.29,0.36,3.5,977736.3,1050604.456,3019488.5645,3.36,1.88,283520.053,154907.0914,1.85,11.2125,11.2409,0.2958,0.268,3019488.5645,283520.053,3.4486,6.3118,2.29,17731.47,164919.0,31397.07,291921.0,30913.88,287890.0,25017.85,233006.0,6974.37,64336.0,11631.49,108236.0,31760.96,295364.0,34146.23,317888.0,27521.59,256249.0
20150311,10.6,10.78,10.4,10.47,10.65,-0.18,-1.69,513579.14,541791.758,2968454.9549,3.42,1.91,283520.053,154907.0914,1.8188,11.023,11.0509,0.2908,0.2635,2968454.9549,283520.053,1.8114,3.3154,1.01,5871.35,55606.0,15026.88,142471.0,17611.29,166912.0,15669.59,148590.0,-5448.61,-51849.0,11975.11,113477.0,16125.56,152889.0,13928.15,132023.0,12150.3,115190.0
20150312,10.64,10.79,10.32,10.74,10.47,0.27,2.58,579847.03,614605.784,3045005.3692,3.33,1.86,283520.053,154907.0914,1.8657,11.3072,11.3359,0.2983,0.2703,3045005.3692,283520.053,2.0452,3.7432,1.04,7974.39,75305.0,19428.31,182932.0,18382.2,173486.0,15675.59,148124.0,2877.32,26473.0,7565.47,71714.0,18500.01,174442.0,19308.3,182055.0,16086.71,151636.0
20150313,10.74,10.87,10.54,10.76,10.74,0.02,0.19,529826.92,567209.722,3050675.7703,3.33,1.86,283520.053,154907.0914,1.8691,11.3283,11.357,0.2989,0.2708,3050675.7703,283520.053,1.8687,3.4203,0.87,8989.08,83787.0,14435.52,134857.0,16494.22,154123.0,15972.86,149388.0,-6484.33,-61316.0,12938.26,121274.0,14513.28,135556.0,15109.79,140913.0,13330.34,124411.0
20150316,10.9,11.3,10.9,11.19,10.76,0.43,4.0,1044046.53,1158284.524,3172589.3931,3.2,1.79,283520.053,154907.0914,1.9438,11.781,11.8108,0.3108,0.2816,3172589.3931,283520.053,3.6824,6.7398,1.58,22082.8,198551.0,34476.18,311195.0,34356.85,309763.0,24909.04,224507.0,6732.81,60188.0,19790.66,178147.0,36364.06,328084.0,33626.67,303092.0,26043.48,234694.0
20150317,11.19,12.3,11.15,12.09,11.19,0.9,8.04,1320857.22,1560799.416,3427757.4408,2.96,1.65,283520.053,154907.0914,2.1002,12.7285,12.7608,0.3358,0.3043,3427757.4408,283520.053,4.6588,8.5268,1.81,36632.24,306408.0,42194.78,358113.0,43188.27,367109.0,34064.42,289228.0,23930.27,200488.0,22583.18,189872.0,45420.61,383987.0,49656.05,421175.0,38419.87,325824.0
20150318,12.11,12.45,11.9,12.15,12.09,0.06,0.5,875471.17,1063103.491,3444768.644,2.95,1.65,283520.053,154907.0914,2.1106,12.7917,12.8241,0.3375,0.3058,3444768.644,283520.053,3.0879,5.6516,1.1,7649.28,62881.0,27140.19,223325.0,37575.55,309557.0,33934.08,279617.0,-3810.01,-31836.0,14518.22,119860.0,25945.47,213560.0,35781.64,294545.0,30053.75,247415.0
20150319,12.16,12.38,11.81,12.27,12.15,0.12,0.99,811675.04,980982.796,3478791.0503,2.92,1.63,283520.053,154907.0914,2.1314,12.918,12.9507,0.3408,0.3088,3478791.0503,283520.053,2.8628,5.2398,0.93,14066.97,116101.0,25310.24,209386.0,31185.39,258060.0,27091.16,224466.0,-573.6,-5712.0,15440.54,128054.0,24951.08,206407.0,31678.89,261886.0,25583.25,211666.0
20150320,12.36,12.88,12.15,12.41,12.27,0.14,1.14,854125.53,1067888.637,3518483.8577,2.88,1.61,283520.053,154907.0914,2.1558,13.0654,13.0985,0.3447,0.3123,3518483.8577,283520.053,3.0126,5.5138,0.93,17325.61,138337.0,30522.65,243638.0,31758.66,254306.0,26933.33,215889.0,1530.23,11490.0,15107.47,121171.0,30179.58,240858.0,32999.71,263895.0,28253.48,226246.0
20150323,12.7,13.39,12.59,12.68,12.41,0.27,2.18,954262.39,1224809.205,3595034.272,2.82,1.58,283520.053,154907.0914,2.2027,13.3497,13.3835,0.3522,0.3191,3595034.272,283520.053,3.3658,6.1602,0.97,23408.3,181575.0,30568.76,238114.0,37259.38,290661.0,31131.6,243024.0,-373.8,-4615.0,26327.47,205640.0,33893.43,263689.0,35887.85,279467.0,26259.28,204579.0
20150324,12.69,12.72,11.91,12.3,12.68,-0.38,-3.0,977069.53,1196641.409,3487296.6519,2.91,1.63,283520.053,154907.0914,2.1366,12.9496,12.9824,0.3417,0.3096,3487296.6519,283520.053,3.4462,6.3075,1.01,13930.93,113843.0,28023.53,228744.0,39898.39,325802.0,37223.86,303899.0,-11946.11,-98206.0,26011.0,213272.0,29092.86,237401.0,34857.92,284285.0,29114.94,237330.0
20150325,12.55,13.0,12.33,12.54,12.3,0.24,1.95,1289944.54,1629473.004,3555341.4646,2.85,1.59,283520.053,154907.0914,2.1783,13.2023,13.2357,0.3483,0.3156,3555341.4646,283520.053,4.5497,8.3272,1.44,30253.08,239069.0,41619.67,329406.0,51698.7,409508.0,38771.19,307191.0,-2316.21,-19406.0,35174.01,278867.0,42148.28,333436.0,48189.76,381394.0,36830.59,291477.0
20150326,12.5,13.79,12.11,13.56,12.54,1.02,8.13,2068030.9,2740473.213,3844531.9187,2.64,1.47,283520.053,154907.0914,2.3555,14.2762,14.3123,0.3767,0.3413,3844531.9187,283520.053,7.2941,13.3501,2.12,96176.34,722240.0,69294.08,524635.0,62235.88,470186.0,45703.47,345965.0,54962.97,413459.0,45753.04,345020.0,80678.99,608214.0,86560.42,652915.0,60417.32,456877.0
20150327,13.56,14.23,13.33,14.12,13.56,0.56,4.13,1207036.74,1666778.584,4003303.1484,2.53,1.42,283520.053,154907.0914,2.4528,14.8657,14.9034,0.3922,0.3554,4003303.1484,283520.053,4.2573,7.792,0.98,38076.69,274744.0,51505.3,373110.0,48379.79,350778.0,28715.88,208404.0,14859.94,105764.0,33771.67,245583.0,51141.92,370089.0,50084.04,362121.0,31680.04,229245.0
20150330,14.76,15.32,14.39,14.54,14.12,0.42,2.97,1219050.1,1798245.023,4122381.5706,2.46,1.38,283520.053,154907.0914,2.5258,15.3079,15.3467,0.4039,0.3659,4122381.5706,283520.053,4.2997,7.8696,0.94,37922.04,256381.0,41349.66,279996.0,58470.3,396807.0,41893.24,284606.0,1223.45,7512.0,44320.74,300293.0,47857.3,324322.0,52064.93,352906.0,35392.27,240270.0
20150331,14.91,15.08,14.0,14.09,14.54,-0.45,-3.09,988399.21,1422726.816,3994797.5468,2.54,1.42,283520.053,154907.0914,2.4476,14.8341,14.8717,0.3914,0.3546,3994797.5468,283520.053,3.4862,6.3806,0.73,15838.52,108918.0,30554.27,212135.0,50050.74,348319.0,44292.0,308371.0,-16692.91,-117512.0,29778.72,207355.0,39212.74,272120.0,39408.26,273495.0,32335.82,224773.0
20150401,14.09,14.48,13.84,14.26,14.09,0.17,1.21,715788.27,1014983.89,4042995.9558,2.51,1.4,283520.053,154907.0914,2.4771,15.0131,15.0511,0.3961,0.3589,4042995.9558,283520.053,2.5246,4.6208,0.53,13754.91,96666.0,27945.07,196913.0,34030.31,240194.0,25767.99,182016.0,-1717.6,-13219.0,17206.6,121449.0,32817.77,231525.0,29146.56,205440.0,22327.37,157374.0
20150402,14.3,14.43,13.86,14.07,14.26,-0.19,-1.33,759709.62,1068864.801,3989127.1457,2.54,1.42,283520.053,154907.0914,2.4441,14.8131,14.8506,0.3908,0.3541,3989127.1457,283520.053,2.6796,4.9043,0.61,8735.47,61985.0,26837.02,190554.0,38434.0,273285.0,32299.04,229723.0,-17517.74,-125134.0,23312.55,165998.0,27785.54,197335.0,30391.62,215874.0,24815.82,176339.0
20150403,13.9,14.19,13.72,14.05,14.07,-0.02,-0.14,556952.83,779742.246,3983456.7447,2.55,1.42,283520.053,154907.0914,2.4406,14.792,14.8295,0.3903,0.3536,3983456.7447,283520.053,1.9644,3.5954,0.57,6685.17,47749.0,22114.68,157923.0,29071.19,207659.0,20102.94,143621.0,-4426.37,-31895.0,13703.92,98114.0,21521.2,153739.0,25588.52,182656.0,17160.34,122443.0
20150407,14.06,15.17,14.06,14.89,14.05,0.84,5.98,1098668.66,1623383.839,4221613.5892,2.4,1.34,283520.053,154907.0914,2.5866,15.6764,15.7161,0.4136,0.3748,4221613.5892,283520.053,3.8751,7.0924,1.3,34104.99,230678.0,47339.49,320463.0,47919.91,324465.0,32973.8,223063.0,23856.58,160814.0,22148.83,150273.0,44384.8,300201.0,55276.07,374113.0,40528.49,274081.0
20150408,14.9,15.08,14.3,14.76,14.89,-0.13,-0.87,740407.67,1082068.155,4184755.9823,2.42,1.36,283520.053,154907.0914,2.564,15.5395,15.5789,0.41,0.3715,4184755.9823,283520.053,2.6115,4.7797,0.9,16006.97,109461.0,30855.26,211062.0,35263.5,241398.0,25430.19,174056.0,-10999.77,-76003.0,23023.25,158198.0,27956.12,191238.0,34597.71,236432.0,21978.84,150109.0
20150409,14.82,15.98,14.77,15.84,14.76,1.08,7.32,1371541.15,2108372.572,4490957.6395,2.26,1.26,283520.053,154907.0914,2.7516,16.6766,16.7188,0.44,0.3987,4490957.6395,283520.053,4.8375,8.854,1.77,58724.19,381508.0,52894.79,344558.0,60036.6,390695.0,37672.05,244879.0,41732.01,269677.0,27270.99,178249.0,57909.47,376819.0,74573.54,484695.0,49573.63,321876.0
20150410,15.61,17.42,15.52,16.93,15.84,1.09,6.88,1223547.3,2039304.083,4799994.4973,2.11,1.18,283520.053,154907.0914,2.9409,17.8241,17.8693,0.4703,0.4261,4799994.4973,283520.053,4.3156,7.8986,1.35,65036.61,390846.0,58655.94,352909.0,49179.82,294318.0,30901.4,184508.0,39633.95,236284.0,38650.73,233481.0,66447.71,399558.0,61838.69,369598.0,36836.65,219944.0
20150413,17.1,18.35,16.6,17.87,16.93,0.94,5.55,1079135.65,1892572.25,5066503.3471,2.0,1.12,283520.053,154907.0914,3.1042,18.8138,18.8614,0.4964,0.4498,5066503.3471,283520.053,3.8062,6.9663,1.08,50848.72,288069.0,56660.21,322730.0,49280.4,282056.0,32022.64,183702.0,5677.73,29684.0,50460.79,287475.0,55624.5,316847.0,50994.73,290900.0,31731.95,181335.0
